1,219295_s_at,219616_at,202065_s_at,202825_at,226324_s_at,213317_at,224952_at,201927_s_at,228749_at,227929_at,220334_at,235747_at,215779_s_at,200886_s_at,211493_x_at,227256_at,209318_x_at,202610_s_at,226733_at,207002_s_at,222809_x_at,231040_at,207943_x_at,226743_at,204233_s_at,213764_s_at,217165_x_at,230158_at,1558569_at,221642_at,1552660_a_at,225634_at
-1,7.9543,6.8531,9.0881,11.099,9.0737,8.0769,8.557,9.5965,5.157,4.8378,3.9124,9.2236,7.8237,14.078,7.3776,10.148,10.221,10.318,9.4165,10.361,11.077,4.7782,9.7055,3.093,11.898,8.6826,11.24,2.3858,7.871,6.399,9.4963,10.123
-1,7.8057,5.9132,9.0951,8.9063,8.889,10.288,8.9877,9.55,3.5612,4.1421,4.425,8.0341,6.6766,14.032,7.2354,10.004,8.9917,9.4692,9.2964,9.2749,10.194,3.4643,9.1087,6.3116,11.855,0.4714,11.499,1.6705,7.8781,6.7529,8.7612,10.677
1,8.0145,8.5295,9.5599,9.4967,9.2902,3.8342,10.198,8.8766,8.1357,5.6118,6.9293,9.2582,8.2683,13.646,7.3976,9.7392,10.966,9.6667,8.0792,10.481,8.6928,5.2222,9.934,8.9239,9.1131,8.6048,11.953,8.4894,7.2294,7.3545,9.2225,10.989
-1,7.7887,6.2121,9.651,10.81,9.1952,3.4708,9.889,10.999,8.6446,5.4483,7.3051,8.9357,6.0989,12.856,7.0633,9.9738,9.4116,10.249,8.5291,9.6327,9.3206,4.5245,9.3217,9.043,9.4818,9.9586,7.5925,4.717,7.608,6.4115,9.5039,10.172
1,9.5474,6.6538,9.4776,8.8917,8.0047,3.0028,9.8511,8.6409,9.6445,3.6824,8.6726,8.7712,6.6562,13.957,6.8014,9.4854,9.2382,9.9513,8.7047,9.4482,10.041,4.7652,9.3497,9.4359,9.2517,0.83825,12.026,7.0892,5.3776,8.1424,10.354,11.278
-1,9.1202,6.636,9.1454,9.9179,9.1982,2.348,11.073,8.8766,7.9162,6.7149,9.9118,12.167,9.9717,13.296,7.7494,9.561,8.9056,10.77,9.2835,8.9523,10.292,6.8634,8.7019,2.6148,10.32,2.5687,9.4769,7.9368,6.9796,7.3869,9.1817,10.744
1,10.464,5.968,8.7003,9.1241,8.9034,5.7068,11.67,9.4018,7.1007,4.2089,10.525,8.609,7.1647,13.646,7.1254,9.954,10.611,10.052,7.7794,10.372,8.7122,5.2297,9.9818,9.9795,8.9243,2.8571,12.873,8.3266,6.0392,6.8184,9.9696,11.367
1,10.599,5.8685,8.9371,9.5967,8.1415,3.7572,11.649,8.8743,9.4413,3.019,9.746,8.6257,6.4372,14.369,6.5822,10.652,9.866,10.005,9.3674,9.4799,8.1328,5.6719,8.9489,4.0086,8.4377,2.0136,10.824,6.0375,4.6104,6.7418,9.4437,11.172
1,8.5891,9.2033,8.2765,9.8421,8.9939,4.2148,9.6248,9.7122,9.1898,8.073,9.9165,9.8081,5.0049,14.061,5.6917,10.948,5.4979,9.765,9.3944,3.0651,8.647,5.3931,4.7837,9.7064,8.8077,0.98369,13.316,8.7889,6.7886,6.7805,9.392,11.003
1,8.692,8.6424,9.4879,9.8684,9.025,1.5883,11.812,9.2651,8.1978,5.5251,8.2364,8.4626,8.2798,14.17,6.7505,10.516,11.518,10.134,9.1467,10.765,8.7487,5.5378,10.067,10.355,8.2607,5.1031,10.38,7.9895,7.3261,7.3482,8.9493,10.747
1,11.802,5.9451,8.9888,9.4006,8.8244,4.369,10.159,9.6684,6.2296,4.0538,9.4043,8.8609,5.9673,14.691,7.8249,10.189,11.055,9.573,8.2773,10.225,9.077,4.7793,10.03,9.9393,9.6441,1.8194,11.176,7.6976,6.9888,6.8371,9.1023,10.979
-1,9.6559,8.2918,9.1901,9.3358,8.5086,5.5022,9.1686,10.396,8.4902,7.6042,8.602,8.4853,8.6692,14.029,6.8177,8.6485,3.5612,11.749,8.891,3.7788,9.2705,3.922,4.8058,10.193,9.7865,11.068,12.381,4.3326,5.582,8.009,10.78,10.227
-1,9.4634,9.0621,10.397,9.4485,7.7512,4.1302,11.39,9.3723,9.356,7.5297,9.0835,8.5659,8.7086,13.338,7.52,10.05,5.7136,9.7395,8.7985,0.57758,8.8685,6.2333,3.944,3.6478,10.893,0.92994,11.361,7.6715,5.9695,7.3236,8.986,11.338
1,7.4783,8.3533,9.5345,9.7078,8.432,3.5749,9.8983,8.9588,9.0366,3.9244,8.5402,8.7934,5.8749,14.225,6.7894,9.9562,8.125,9.7434,8.2129,7.9082,8.0496,5.8551,8.1072,7.8357,9.1385,5.6132,12.9,7.6302,6.8203,7.634,9.642,11.513
