1,243862_at,220020_at,238028_at,233001_at,221496_s_at,206474_at,221954_at,232360_at,229325_at,202027_at,202648_at,224939_at,219180_s_at,220266_s_at,200053_at,202497_x_at,202179_at,200810_s_at
-1,5.9209,8.9124,8.1793,7.9982,9.6803,7.3599,10.064,6.0982,9.21,10.544,6.459,11.079,8.8161,6.8286,10.843,4.9039,8.7076,10.596
-1,7.0877,8.3822,5.82,7.3699,10.033,7.6246,9.315,6.3898,8.6527,9.7033,6.7047,11.053,7.7658,8.2073,10.875,5.5064,8.9195,12.531
-1,5.8748,8.6273,5.8843,6.2899,9.2132,6.8445,10.144,5.2571,10.037,10.399,7.4545,11.459,8.7323,8.92,10.168,10.032,9.2713,12.358
-1,6.0596,9.0511,5.981,6.348,9.0509,8.7607,9.3858,6.0718,8.9064,10.832,6.1585,11.611,8.7588,8.4256,10.486,3.9666,10.214,12.498
-1,6.529,8.2437,6.3873,7.5731,9.3004,8.7796,10.128,4.3858,9.2094,10.444,7.8368,12.004,8.48,7.478,11.448,4.1626,8.9236,12.179
-1,6.8014,9.1283,5.9391,7.6707,9.0292,7.9465,9.4793,7.0324,9.5997,10.032,5.2888,11.18,8.1264,10.156,10.909,4.5609,9.1984,11.953
1,7.1474,8.9067,4.8667,5.3712,9.1542,8.1074,9.447,2.6193,9.5392,9.8387,6.7914,11.604,7.4862,8.6809,11.115,10.934,9.9614,11.186
1,7.7775,8.5088,6.1513,6.6418,8.6808,8.88,9.3428,5.3899,9.0735,10.188,6.2039,11.935,7.8541,9.1104,10.899,11.682,10.161,12.071
-1,7.7113,9.2268,7.5198,7.2968,9.1221,8.2075,9.5096,3.0952,9.5465,9.7458,6.9527,12.364,8.0607,5.671,11.876,9.3292,10.095,11.851
1,5.7216,8.335,6.2873,7.4572,9.5394,7.4738,9.6724,4.8627,9.1116,10.549,6.7869,12.481,7.6864,7.9,10.991,9.223,9.7622,11.658
-1,6.921,8.9816,6.616,7.5633,9.3356,7.3824,9.7429,4.306,9.1044,10.512,6.9219,10.728,8.1986,6.3145,10.965,10.299,9.2353,10.09
-1,3.2323,8.6638,6.5576,7.942,9.2185,8.1921,9.6857,5.6371,9.2082,9.9268,7.7457,10.784,8.5296,8.4744,11.012,10.48,9.1145,10.694
-1,8.5488,8.874,7.3462,7.7941,8.9095,7.7065,9.6537,5.5928,9.73,9.6579,5.9922,11.471,8.6305,9.9687,11.025,4.2364,8.9908,11.485
-1,6.9043,8.0839,6.7169,7.0555,9.0724,8.31,9.4123,5.981,9.377,10.541,7.367,11,8.5432,4.0928,11.519,9.0376,9.0111,11.59
